股票代码,股票简称,年份,每股收益(元),营业总收入(元),净利润(元),净资产收益率(%),同比增长(%),每股净资产(元),每股经营现金流量(元),销售毛利率(%),季度环比增长(%),所处行业
603825,华扬联众,2020,-0.01,2138611368.18,-407888.03,-0.03,6.2024502417,6.533326055321,0.377474603532,10.7592713344,-34.1899,文化传媒
603825,华扬联众,2021,0.06,2149784702.33,12771223.43,0.82,0.5224574374,7.316956579569,-1.32581544871,11.2999565667,-23.6986,文化传媒
603825,华扬联众,2022,0.08,2398746144.46,15023463.95,0.98,11.5807615926,7.892528381832,1.635588784801,11.090788569,5.1921,文化传媒
603825,华扬联众,2023,0.08,2684588894.51,19342688.74,0.83,11.9163401559,9.235143787384,-0.785563386763,11.5664336746,-39.9521,文化传媒
603826,坤彩科技,2017,0.0661,81812599.36,17835974.86,4.31,0,0,0,45.2028546939,0,非金属材料
603826,坤彩科技,2018,0.0973,104060334.32,26259409.5,4.69,27.1935314781,1.924799180074,0.046414130852,47.3963901061,-12.068,非金属材料
603826,坤彩科技,2019,0.0782,118063462.19,36587451.37,3.16,13.4567392672,3.210751177611,0.080773369,44.2695369596,-7.3896,非金属材料
603826,坤彩科技,2020,0.0746,135562838.63,34919752.41,2.63,14.8220085329,2.756697496581,0.000513162756,46.6816289402,-7.6514,非金属材料
603826,坤彩科技,2021,0.0755,165421041.72,35340025.85,2.49,22.0253598934,3.071954739167,0.066824510256,41.4232114292,-7.0478,非金属材料
603826,坤彩科技,2022,0.094,213849748.88,44013084.1,2.78,29.2760259858,3.433158603996,0.070170230064,40.4628318729,-1.5872,非金属材料
603826,坤彩科技,2023,0.057,198779538.3,26685223.38,1.55,-7.0471023038,3.714371682735,-0.036035225684,34.633748679,-11.6796,非金属材料
603828,柯利达,2015,0.21,269203967.87,18820565.21,4.79,0,0,0,16.477799882,0,装修装饰
603828,柯利达,2016,0.24,310155720.28,24708896.46,3.81,15.2121652344,8.139062067167,-1.78008515,16.5553141124,-39.7957,装修装饰
603828,柯利达,2017,0.15,287753363.76,18617488.24,1.86,-7.2229383678,8.172081539039,-0.81565954114,15.6463348132,-35.8661,装修装饰
603828,柯利达,2018,0.14,277084892.26,25996038.44,2.5,-3.7075054,5.698888834331,-0.467594957455,15.2404064132,-54.6124,装修装饰
603828,柯利达,2019,0.08,335174127.01,34277875.91,5.7,20.9644178996,3.323131658439,-0.278095157276,16.6088050222,-53.2741,装修装饰
603828,柯利达,2020,0.07,308040781.68,36493742.44,3.24,-8.0952982774,2.550449890111,-0.349572769456,16.0920121484,-69.7547,装修装饰
603828,柯利达,2021,0.03,289731956.58,17381312.43,1.51,-5.9436367484,2.521379572577,-0.386328359431,10.1171916126,-67.9938,装修装饰
603828,柯利达,2022,0.03,505204455.09,19764069.28,1.31,74.3696004588,2.656027150351,-0.310144032819,11.2568911313,-44.9593,装修装饰
603828,柯利达,2023,-0.06,462020401.9,-37503355.31,-3.12,-8.5478369707,1.942756854216,-0.178264855804,7.5622382835,-34.1609,装修装饰
603829,洛凯股份,2018,0.06,77453326.46,6777630.74,2.13,0,0,0,25.3879777264,-34.9095,电网设备
603829,洛凯股份,2019,0.04,99381445.78,6887884.88,1.12,28.3113977439,3.856100656188,-0.24026057725,20.3135051232,-21.0421,电网设备
603829,洛凯股份,2020,0.05,98136458.5,8527596.2,1.3,-1.2527361322,4.141467424313,-0.3246431335,23.3884900992,-41.6393,电网设备
603829,洛凯股份,2021,0.01,90322396.45,2052692.72,0.3,-7.9624455268,4.286125946938,-0.393315415875,22.2705486907,-53.834,电网设备
603829,洛凯股份,2022,0.08,231661671.52,12013195.41,1.63,156.483087944,4.6483149815,-0.1123619085,18.7828528537,-21.4884,电网设备
603829,洛凯股份,2023,0,271145816.46,363175.76,0.05,14.4640092382,4.932632589875,-0.367887610813,18.2326579829,-35.9184,电网设备
603843,正平股份,2016,-0.05,188732693.3,-9605097.95,0,0,0,0,9.6951165588,0,工程建设
